,year,value
148,1998,1.0
152,1999,1.0002303616678183
156,2000,1.0137132945783704
160,2001,1.0239982655121482
164,2002,1.0199872623548385
168,2003,1.024960364242449
172,2004,1.0420884317790697
176,2005,1.0469666788622844
180,2006,1.0570619401872705
184,2007,1.0793121671612669
188,2008,1.1508462403620745
192,2009,1.157716438337602
196,2010,1.1904006937951408
200,2011,1.2528693578329744
204,2012,1.31020231174709
208,2013,1.3410978766074502
212,2014,1.3548518232448474
216,2015,1.3477648142878438
220,2016,1.3405965012127865
224,2017,1.3483203924278764
